[2023-04-10 16:41:56,982][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,700][worker-0][INFO] Initialized application
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,705][worker-0][INFO] Initialized Seeds
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,710][worker-0][INFO] Initialized CORS
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 00:46:12,715][worker-0][INFO] App Initialization is finished successfully
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,129][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:19:45,185][worker-0][ERROR] An error happened during initializing app components: View function mapping is overwriting an existing endpoint function: view.firstmain
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-04-11 01:20:05,384][worker-0][INFO] Initialized logger with level 10 for worker 0
